d,C,freq_lossy,decay_lossy,Q_lossy,freq_lossless,decay_lossless,Q_lossless
0.301,0.006371401,1.368467487,-0.00932253,73.39571552,1.363492877,-0.000106678,6390.694665
0.301,0.006371401,1.372455626,-0.003409403,201.275058,1.376235679,-7.28E-05,9456.891485
0.303,0.006283515,1.36887978,-0.009446472,72.45455082,1.363768262,-0.000106171,6422.502226
0.303,0.006283515,1.372623162,-0.003254617,210.8732557,1.376335293,-7.27E-05,9462.328016
0.3035,0.006263189,1.368934241,-0.009458343,72.36649723,1.363820423,-0.000106077,6428.449515
0.3035,0.006263189,1.372625609,-0.003234081,212.2126506,1.376346801,-7.28E-05,9458.558171
0.304,0.006222358,1.369100564,-0.0094479,72.45528107,1.363926488,-0.000106133,6425.541266
0.304,0.006222358,1.372588551,-0.003238889,211.8918486,1.376371204,-7.29E-05,9444.905806
0.305,0.006183956,1.369195813,-0.009474003,72.26068102,1.364011851,-0.000106043,6431.399394
0.305,0.006183956,1.372583233,-0.003202418,214.3041934,1.376379763,-7.28E-05,9451.331514
0.308,0.006074139,1.369415759,-0.009563236,71.59792647,1.364207155,-0.000106659,6395.194843
0.308,0.006074139,1.37253184,-0.003097794,221.5337423,1.376355434,-7.28E-05,9451.470619
0.25,,1.365180714,-0.008240827,82.83032151,,,
0.25,,1.374214628,-0.004575982,150.1551683,,,
0.28,,1.367773549,-0.008711486,78.50403299,,,
0.28,,1.372901226,-0.003409403,201.275058,,,
0.32,,1.369244829,-0.010101612,67.7735785,,,
0.32,,1.372179978,-0.00264794,259.1033098,,,
0.35,,1.36992334,-0.010752512,63.70247769,,,
0.35,,1.371443253,-0.001860021,368.6633956,,,
