freq,freqError,decayError,d+w,decay,decayError
1.369053778,1.74E-05,2.68E-05,0.922,-0.001711719,8.94E-06
1.373158159,1.04E-05,3.75E-05,0.922,-0.001606034,1.25E-05
1.369390697,3.22E-05,1.04E-05,0.936285714,-0.001690077,3.45E-06
1.373020957,1.49E-05,2.91E-05,0.936285714,-0.001630966,9.71E-06
1.36974065,1.66E-05,9.33E-06,0.950571429,-0.001726044,3.11E-06
1.372879689,3.98E-06,3.12E-05,0.950571429,-0.001599884,1.04E-05
1.369940362,1.96E-05,4.20E-05,0.964857143,-0.001702064,2.10E-05
1.372595186,8.22E-06,1.54E-05,0.964857143,-0.001584351,1.54E-05
1.370028663,1.76E-07,3.73E-05,0.979142857,-0.001706108,3.73E-05
1.372234286,1.22E-05,1.22E-06,0.979142857,-0.001587318,1.22E-06
1.370372849,2.25E-05,3.89E-05,0.993428571,-0.001671797,3.89E-05
1.372107354,3.70E-05,4.05E-06,0.993428571,-0.001611758,4.05E-06
1.371728777,1.82E-05,9.81E-06,1.007714286,-0.001701636,9.81E-06
1.370724067,8.77E-06,6.97E-06,1.007714286,-0.001616116,6.97E-06
1.371277108,6.85E-05,1.51E-05,1.022,-0.001993948,1.51E-05
1.371049923,4.57E-05,6.93E-05,1.022,-0.001286449,6.93E-05
1.371295026,5.34E-05,8.00E-05,1.036285714,-0.002442148,0.000191315
1.371120104,1.89E-05,3.31E-05,1.036285714,-0.000991101,3.31E-05
1.371408876,9.42E-06,0.000191315,1.050571429,-0.002502963,2.31E-06
1.371187172,5.19E-06,2.81E-06,1.050571429,-0.000824362,2.81E-06
1.371448849,0.000106825,0.000191907,1.064857143,-0.002776932,0.000191907
1.371125873,7.34E-06,2.21E-05,1.064857143,-0.000677541,2.21E-05
1.371257782,5.20E-05,5.10E-05,1.079142857,-0.0028,1.10E-05
1.370992084,8.94E-06,5.27E-06,1.079142857,-0.000589889,5.27E-06
1.371443524,0.00011983,0.00020425,1.093428571,-0.002972965,0.00020425
1.371096536,2.76E-07,1.46E-05,1.093428571,-0.000501199,1.46E-05
1.371484383,0.000178519,0.000172448,1.107714286,-0.003025574,0.000172448
1.371057937,2.06E-06,1.31E-05,1.107714286,-0.000434138,1.31E-05
1.371323019,8.60E-05,6.53E-05,1.136285714,-0.0030538,6.53E-05
1.371054026,3.21E-06,2.28E-06,1.136285714,-0.000350258,2.28E-06
