seps,w,d+w,freq,wvlength,decay,Q
0.197,0.462,0.659,1.38142,0.72389,-0.00011,6080.38409
0.197,0.462,0.659,1.35793,0.73641,-0.00026,2596.6699
0.218,0.462,0.68,1.38048,0.72439,-0.00011,6192.15836
0.218,0.462,0.68,1.35987,0.73536,-0.00025,2719.20353
0.232,0.462,0.694,1.37977,0.72476,-0.00011,6343.66115
0.232,0.462,0.694,1.36093,0.73479,-0.00024,2834.94711
0.246,0.462,0.708,1.37917,0.72507,-0.00011,6412.84682
0.246,0.462,0.708,1.36172,0.73437,-0.00024,2888.41636
0.267,0.462,0.729,1.37842,0.72547,-0.00011,6235.90846
0.267,0.462,0.729,1.36303,0.73366,-0.00023,3016.5096
0.281,0.462,0.743,1.37783,0.72578,-0.0001,6574.6336
0.281,0.462,0.743,1.3637,0.7333,-0.00022,3129.32485
0.295,0.462,0.757,1.37741,0.726,-0.0001,6640.59334
0.295,0.462,0.757,1.36428,0.73299,-0.00021,3191.07988
0.316,0.462,0.778,1.37682,0.72631,-0.0001,6672.36787
0.316,0.462,0.778,1.3652,0.73249,-0.00021,3297.77989
0.33,0.462,0.792,1.37631,0.72658,-0.0001,6699.97542
0.33,0.462,0.792,1.3656,0.73228,-0.0002,3403.31218
0.344,0.462,0.806,1.37604,0.72672,-0.0001,6728.72219
0.344,0.462,0.806,1.36608,0.73202,-0.0002,3460.52466
0.43,0.462,0.892,1.374250653,0.727669292,-7.24E-05,5793.801147
0.43,0.462,0.892,1.368026375,0.730980059,-0.000118059,5793.801147
0.46,0.462,0.922,1.373923068,0.727842791,-7.29E-05,9421.922458
0.46,0.462,0.922,1.368220857,0.730876155,-9.92E-05,6895.031331
0.49,0.462,0.952,1.373555071,0.728037791,-7.41E-05,9273.945298
0.49,0.462,0.952,1.368992605,0.730464136,-1.13E-04,6046.074803
0.5,0.462,0.962,1.373100223,0.728278958,-6.27E-05,10948.88147
0.5,0.462,0.962,1.368741747,0.730598012,-9.77E-05,7005.678599
0.52,0.462,0.982,1.373183079,0.728235015,-6.15E-05,11156.34187
0.52,0.462,0.982,1.36925979,0.730321599,-9.45E-05,7248.061825
0.535,0.462,0.997,1.373092724,0.728282936,-0.000112095,6124.679559
0.535,0.462,0.997,1.369478193,0.730205128,-0.000143752,4763.348833
0.54,0.462,1.002,1.37304828,0.728306509,-0.000112797,6086.352398
0.54,0.462,1.002,1.369149545,0.730380406,-8.86E-05,7723.317295
0.56,0.462,1.022,1.372883979,0.72839367,-0.00011465,5987.274901
0.56,0.462,1.022,1.369686039,0.730094322,-0.000150656,4545.75253
0.58,0.462,1.042,1.37239344,0.728654022,-6.34E-05,10819.59161
0.58,0.462,1.042,1.369467705,0.730210721,-0.000111807,6124.230889
0.62,0.462,1.082,1.372140949,0.728788104,-6.43E-05,10670.64494
0.62,0.462,1.082,1.369727889,0.730072015,-9.92E-05,6902.728705
0.63,0.462,1.092,1.372325909,0.728689879,-0.000124303,5520.065115
0.63,0.462,1.092,1.370044889,0.729903092,-0.000148425,4615.265016
0.66,0.462,1.122,1.371936164,0.728896888,-6.69E-05,10255.56019
0.66,0.462,1.122,1.36994151,0.729958172,-0.00010808,6337.605658
