seps,w,d+w,freq,wavelength,decay,Q,error (in resonance freq),C
0.204,0.462,0.666,1.35865,0.73602,-0.00025,2676.31134,8.109871634335651e-08+0.0i,0.011175
0.204,0.462,0.666,1.381,0.72411,-0.00014,5096.40487,2.4426936669515525e-08+0.0i,0.011175
0.197,0.462,0.659,1.35793,0.73641,-0.00026,2596.6699,1.364445136947882e-08+0.0i,0.011745
0.197,0.462,0.659,1.38142,0.72389,-0.00011,6080.38409,1.085643190282048e-08+0.0i,0.011745
0.211,0.462,0.673,1.35939,0.73562,-0.00025,2689.22816,3.451356753313573e-08+0.0i,0.0107
0.211,0.462,0.673,1.38079,0.72422,-0.00011,6145.68072,5.5470784506483195e-09+0.0i,0.0107
0.218,0.462,0.68,1.35987,0.73536,-0.00025,2719.20353,1.5485047953957486e-09+0.0i,0.010305
0.218,0.462,0.68,1.38048,0.72439,-0.00011,6192.15836,1.2558937151758607e-10+0.0i,0.010305
0.225,0.462,0.687,1.35991,0.73535,-0.00025,2769.68543,3.721958088370907e-08+0.0i,0.00993
0.225,0.462,0.687,1.37977,0.72476,-0.00011,6313.88299,8.438501126941745e-10+0.0i,0.00993
0.232,0.462,0.694,1.36093,0.73479,-0.00024,2834.94711,1.2011246778697788e-08+0.0i,0.00942
0.232,0.462,0.694,1.37977,0.72476,-0.00011,6343.66115,1.0915858080684282e-08+0.0i,0.00942
0.239,0.462,0.701,1.36141,0.73453,-0.00024,2848.29876,1.3928812484118051e-08+0.0i,0.009055
0.239,0.462,0.701,1.37952,0.72489,-0.00011,6318.16086,9.912093139486057e-09+0.0i,0.009055
0.246,0.462,0.708,1.36172,0.73437,-0.00024,2888.41636,5.5716713220112e-09+0.0i,0.008725
0.246,0.462,0.708,1.37917,0.72507,-0.00011,6412.84682,3.0280965884155734e-09+0.0i,0.008725
0.26,0.462,0.722,1.3627,0.73384,-0.00023,2985.62042,6.0096360291991955e-09+0.0i,0.007985
0.26,0.462,0.722,1.37867,0.72534,-0.00011,6448.55998,3.039935110235563e-09+0.0i,0.007985
0.253,0.462,0.715,1.36204,0.73419,-0.00023,2943.50881,1.1923314406542924e-08+0.0i,0.00832
0.253,0.462,0.715,1.37868,0.72533,-0.00011,6224.32427,7.468524842014275e-09+0.0i,0.00832
0.267,0.462,0.729,1.36303,0.73366,-0.00023,3016.5096,9.098215783808973e-09+0.0i,0.007695
0.267,0.462,0.729,1.37842,0.72547,-0.00011,6235.90846,9.014803376656348e-09+0.0i,0.007695
0.274,0.462,0.736,1.36296,0.7337,-0.00022,3044.81667,3.2796826063220752e-09+0.0i,0.007435
0.274,0.462,0.736,1.37783,0.72578,-0.0001,6569.82503,1.29664677412749e-09+0.0i,0.007435
0.281,0.462,0.743,1.3637,0.7333,-0.00022,3129.32485,1.4195265322164595e-08+0.0i,0.007065
0.281,0.462,0.743,1.37783,0.72578,-0.0001,6574.6336,7.020271767660744e-09+0.0i,0.007065
0.288,0.462,0.75,1.36406,0.73311,-0.00022,3127.36111,3.145483833000752e-08+0.0i,0.006795
0.288,0.462,0.75,1.37765,0.72587,-0.0001,6952.46629,4.585592848760451e-09+0.0i,0.006795
0.295,0.462,0.757,1.36428,0.73299,-0.00021,3191.07988,4.762021591810445e-09+0.0i,0.006565
0.295,0.462,0.757,1.37741,0.726,-0.0001,6640.59334,5.629503934891376e-09+0.0i,0.006565
0.302,0.462,0.764,1.36425,0.733,-0.00021,3193.24784,1.4853509687666286e-08+0.0i,0.006305
0.302,0.462,0.764,1.37686,0.72629,-0.0001,6825.32742,7.311870868020617e-09+0.0i,0.006305
0.309,0.462,0.771,1.36495,0.73263,-0.00021,3257.39144,1.2859357821779316e-08+0.0i,0.00602
0.309,0.462,0.771,1.37699,0.72622,-0.0001,6733.08601,1.2087675610602172e-08+0.0i,0.00602
0.316,0.462,0.778,1.3652,0.73249,-0.00021,3297.77989,4.342264240326133e-09+0.0i,0.00581
0.316,0.462,0.778,1.37682,0.72631,-0.0001,6672.36787,2.8052872018698483e-09+0.0i,0.00581
0.323,0.462,0.785,1.36514,0.73252,-0.00021,3314.35617,1.3956818176222724e-08+0.0i,0.00563
0.323,0.462,0.785,1.3764,0.72653,-0.00011,6309.94308,1.2771966637128243e-08+0.0i,0.00563
0.33,0.462,0.792,1.3656,0.73228,-0.0002,3403.31218,3.1822961277396194e-09+0.0i,0.005355
0.33,0.462,0.792,1.37631,0.72658,-0.0001,6699.97542,1.9090294260507723e-09+0.0i,0.005355
0.337,0.462,0.799,1.36592,0.73211,-0.0002,3422.71748,6.678860276883957e-09+0.0i,0.00515
0.337,0.462,0.799,1.37622,0.72663,-0.0001,6689.65823,4.940089658278751e-09+0.0i,0.00515
0.344,0.462,0.806,1.36608,0.73202,-0.0002,3460.52466,5.056059241675727e-09+0.0i,0.00515
0.344,0.462,0.806,1.37604,0.72672,-0.0001,6728.72219,3.4978212017683374e-09+0.0i,0.00498
0.351,0.462,0.813,1.36587,0.73214,-0.0002,3489.39855,3.4371585179585982e-09+0.0i,0.004795
0.351,0.462,0.813,1.37546,0.72703,-0.0001,6793.80606,2.7787821236909834e-09+0.0i,0.004795
