,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,w_los,w_ups,Name
"[60,0.46,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.46,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.46,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.4742857142857143,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.4742857142857143,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.4742857142857143,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.4885714285714286,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.4885714285714286,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.4885714285714286,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5028571428571429,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5028571428571429,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5028571428571429,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5171428571428571,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5171428571428571,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5171428571428571,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5314285714285715,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5314285714285715,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5314285714285715,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5457142857142857,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5457142857142857,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5457142857142857,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.56,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.56,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.56,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5742857142857143,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5742857142857143,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5742857142857143,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.5885714285714286,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.5885714285714286,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.5885714285714286,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.6028571428571429,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.6028571428571429,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.6028571428571429,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.6171428571428572,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.6171428571428572,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.6171428571428572,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.6314285714285715,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.6314285714285715,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.6314285714285715,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.6457142857142857,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.6457142857142857,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.6457142857142857,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[60,0.66,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",60,0.66,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[60,0.66,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
