holes,freq,imag,Q
4,1.197194374,-0.00169015,354.1681286
4,1.370535746,-0.001014987,675.1492851
4,1.371958148,-0.000864423,793.568375
4,1.194741936,-0.010358073,57.67201715
4,1.224232581,-0.00457797,133.7091003
4,1.370543085,-0.001002388,683.6388541
4,1.371931064,-0.000853005,804.1753759
3,1.215051357,-0.007635955,79.56119285
3,1.369568632,-0.001779692,384.7769366
3,1.372187149,-0.001621484,423.1268588
3,1.214911166,-0.007515859,80.8231757
3,1.272724323,-0.003554845,179.0126334
3,1.369564709,-0.001767488,387.4324796
3,1.372190776,-0.001614618,424.9273198
1,1.271934693,0.000929041,-684.5417637
1,1.361422328,-0.008043042,84.63355023
1,1.36887461,-0.012393472,55.22562989
1,1.375073956,-0.002602442,264.1891539
1,1.26966279,-0.011658276,54.4532833
1,1.366768746,-0.006555257,104.2498189
1,1.374366636,-0.006470832,106.1970602
2,1.370488285,-0.004087726,167.6345732
2,1.374364506,-0.003094218,222.0858895
2,1.199574928,-0.011453258,52.36828326
2,1.272777354,-0.005949291,106.9688349
2,1.369211232,-0.003314973,206.5192001
2,1.374300435,-0.003134088,219.250425
