d+w,C
0.666,0.011175
0.666,0.011175
0.659,0.011745
0.659,0.011745
0.673,0.0107
0.673,0.0107
0.68,0.010305
0.68,0.010305
0.687,0.00993
0.687,0.00993
0.694,0.00942
0.694,0.00942
0.701,0.009055
0.701,0.009055
0.708,0.008725
0.708,0.008725
0.722,0.007985
0.722,0.007985
0.715,0.00832
0.715,0.00832
0.729,0.007695
0.729,0.007695
0.736,0.007435
0.736,0.007435
0.743,0.007065
0.743,0.007065
0.75,0.006795
0.75,0.006795
0.757,0.006565
0.757,0.006565
0.764,0.006305
0.764,0.006305
0.771,0.00602
0.771,0.00602
0.778,0.00581
0.778,0.00581
0.785,0.00563
0.785,0.00563
0.792,0.005355
0.792,0.005355
0.799,0.00515
0.799,0.00515
0.806,0.00498
0.806,0.00498
0.813,0.004795
0.813,0.004795
