w,freq,Q
1.3,1.261109263,215.6385492
1.3,1.39082682,4634.838774
1.32,1.257352064,218.2328294
1.32,1.386869395,5168.663541
1.32,1.475421875,50.19840028
1.33,1.255529559,216.0903215
1.33,1.384936627,5449.826023
1.33,1.473315946,50.03695488
1.34,1.253710447,220.976931
1.34,1.382996078,5742.702836
1.34,1.471409788,50.61216661
1.36,1.378576126,6431.759998
1.36,1.466418935,50.12440138
1.37,1.376560474,6754.511865
1.39,1.373064073,7322.828506
1.4,1.371241506,7613.441131
1.42,1.367663598,8171.064183
1.43,1.365724671,8455.837122
1.45,1.361943418,8963.24246
1.48,1.356920579,9518.468302
1.46,1.360262581,9167.822975
1.49,1.35528434,9654.216436
1.51,1.351558658,9893.882568
1.52,1.349779933,9913.021318
1.57,1.3421416,9955.99515
1.57,1.418566578,77.62800528
1.58,1.34048824,9905.709311
1.58,1.410723226,70.83324966
1.6,1.337184684,9731.212423
1.6,1.407524301,83.24478691
1.55,1.345210387,10030.89641
1.55,1.417872381,58.73392492
1.53,1.348339531,9972.324936
